     dt     | total_auctions | increase_auctions 
 2020-09-08 |         192727 |             16598
 2020-09-09 |         200669 |             18904
 2020-09-10 |         201326 |             20851
 2020-09-11 |         158350 |             15223
 2020-09-14 |         156383 |             14154
 2020-09-15 |         192921 |             17233
 2020-09-16 |         184647 |             17432
 2020-09-17 |         198689 |             19619
 2020-09-18 |         227985 |             21282
 2020-09-21 |         244621 |             21248
 2020-09-22 |         218281 |             19967
 2020-09-23 |         201572 |             18222
 2020-09-24 |         216123 |             20815
 2020-09-25 |         224623 |             20741
 2020-09-28 |         179660 |             16072
(191 rows)

